timestamp,x,y,z
2025-03-18 15:52:39.906506+00:00,-114.44,-39.12,539.86
2025-03-18 15:47:55.126751+00:00,-0.12,-0.61,-0.79
2025-03-18 15:49:37.425385+00:00,0.06,0.18,0.06
2025-03-18 15:51:59.760760+00:00,-55.48,19.84,487.37
2025-03-18 15:53:56.089365+00:00,163.21,171.02,-198.61
2025-03-18 15:57:32.578167+00:00,0.37,0.37,-0.06
2025-03-18 15:41:50.194038+00:00,0.0,0.49,0.18
2025-03-18 15:52:35.909114+00:00,-75.87,-157.47,507.51
2025-03-18 15:34:41.124913+00:00,-0.55,0.55,1.16
2025-03-18 15:41:30.205099+00:00,18.98,-1.28,-3.17
2025-03-18 15:51:21.628161+00:00,8.42,2.38,5.19
2025-03-18 15:34:31.099879+00:00,-0.24,0.06,-0.06
2025-03-18 15:52:01.809737+00:00,-15.08,-99.61,270.87
2025-03-18 15:37:25.570904+00:00,-187.07,-266.78,54.81
2025-03-18 15:34:49.208022+00:00,0.31,0.31,-0.06
2025-03-18 15:41:36.158642+00:00,0.43,0.18,0.06
2025-03-18 15:48:35.268965+00:00,0.12,0.18,0.0
2025-03-18 15:38:15.913919+00:00,-2.01,-1.22,1.1
2025-03-18 15:33:18.994750+00:00,0.49,0.43,0.31
2025-03-18 15:35:15.212149+00:00,-0.85,0.49,-0.31
2025-03-18 15:51:17.674796+00:00,-225.83,-317.14,204.28
2025-03-18 15:38:55.787600+00:00,0.43,-0.06,0.0
2025-03-18 15:53:21.989596+00:00,84.05,79.41,-271.73
2025-03-18 15:48:49.296178+00:00,0.12,0.12,0.06
2025-03-18 15:55:32.277593+00:00,-13.31,-5.92,4.09
2025-03-18 15:35:21.256108+00:00,0.18,0.06,0.18
2025-03-18 15:55:44.309058+00:00,-16.05,-2.26,-38.51
2025-03-18 15:54:52.173436+00:00,-177.86,-421.45,130.31
2025-03-18 15:56:36.610810+00:00,0.18,0.49,-0.06
2025-03-18 15:33:26.978311+00:00,-1.04,0.43,0.24
2025-03-18 15:32:54.857987+00:00,0.06,0.12,-0.06
2025-03-18 15:35:45.526165+00:00,-0.12,0.12,0.12
2025-03-18 15:58:36.737473+00:00,-7.26,-83.01,26.0
2025-03-18 15:52:11.843981+00:00,98.33,209.72,-277.04
2025-03-18 15:41:54.268124+00:00,1.4,-0.73,0.12
2025-03-18 15:38:57.832749+00:00,-0.06,0.24,0.31
2025-03-18 15:36:35.497348+00:00,0.55,0.37,0.37
2025-03-18 15:36:43.996669+00:00,-0.79,0.12,1.04
2025-03-18 15:36:37.441882+00:00,-0.55,0.12,-0.55
2025-03-18 15:51:07.639286+00:00,1.77,135.07,99.49
2025-03-18 15:54:26.107280+00:00,7.51,-5.37,-3.48
2025-03-18 15:47:53.387488+00:00,-0.98,-1.04,2.26
2025-03-18 15:53:38.065272+00:00,1.04,0.24,-0.06
2025-03-18 15:40:03.576050+00:00,-0.06,0.98,0.37
2025-03-18 15:38:03.638754+00:00,3.23,-0.12,-0.31
2025-03-18 15:54:14.111859+00:00,-97.11,-224.49,379.15
2025-03-18 15:55:36.288316+00:00,327.88,-145.39,-73.12
2025-03-18 15:42:02.254640+00:00,1.95,5.62,-1.53
2025-03-18 15:40:38.391329+00:00,-0.73,-0.37,-0.12
2025-03-18 15:52:15.837547+00:00,-32.78,-98.63,64.88
2025-03-18 15:37:51.684048+00:00,0.49,-0.06,0.18
2025-03-18 15:40:36.009898+00:00,2.5,-0.92,-0.49
2025-03-18 15:57:22.548586+00:00,0.67,0.31,-0.43
2025-03-18 15:41:56.316556+00:00,-3.3,-0.18,0.18
2025-03-18 15:46:55.019731+00:00,-0.92,-0.98,-0.06
2025-03-18 15:37:57.790319+00:00,0.18,0.37,-0.06
2025-03-18 15:48:15.196139+00:00,0.06,0.12,0.06
