x,y,z,timestamp
0.12,0.12,0.12,1742283744.2537396
0.0,0.12,0.06,1742283746.2008584
0.18,0.18,0.12,1742283748.2486126
0.24,0.18,0.06,1742283750.1903493
0.12,0.12,0.06,1742283752.251244
-0.55,0.12,-0.49,1742283754.1729076
0.18,0.18,0.06,1742283756.233867
-0.06,0.12,0.06,1742283758.4950004
0.12,0.12,0.06,1742283760.2094145
0.06,0.18,0.06,1742283762.2759492
0.0,0.12,0.12,1742283764.3232284
0.12,0.12,0.06,1742283766.2175395
-0.18,0.06,0.0,1742283768.422947
-0.61,0.06,0.06,1742283770.269545
0.06,0.06,0.06,1742283772.3112135
0.18,0.12,0.06,1742283774.2375176
0.12,0.12,0.06,1742283776.515759
-0.06,0.12,0.06,1742283778.3529103
-0.06,0.06,0.06,1742283780.299948
0.06,0.12,0.06,1742283782.3458145
0.24,0.18,0.06,1742283784.299487
0.06,0.12,0.0,1742283786.2901251
0.12,0.18,0.12,1742283788.2855737
-0.06,0.12,0.12,1742283790.3339722
0.18,0.12,0.06,1742283792.3821714
-0.06,0.12,0.06,1742283794.5517306
0.18,0.18,0.12,1742283796.2951996
0.18,0.18,0.06,1742283798.3259132
0.12,0.12,0.06,1742283800.2958086
0.12,0.12,0.06,1742283802.5228324
0.18,0.18,0.06,1742283804.4680064
0.12,0.12,0.06,1742283806.4112756
0.12,0.12,0.06,1742283808.3574302
0.18,0.12,0.0,1742283810.3652096
0.12,0.12,0.06,1742283812.759822
0.18,0.12,0.06,1742283814.397893
0.12,0.12,0.06,1742283816.3437173
0.12,0.24,0.06,1742283818.3715067
-0.37,0.12,0.0,1742283820.4420104
0.12,0.12,0.06,1742283822.360786
0.12,0.12,0.0,1742283824.43521
0.12,0.12,0.06,1742283826.3810678
0.06,0.18,0.06,1742283828.3764453
-0.67,0.79,-0.12,1742283830.783346
-0.67,0.24,-0.06,1742283832.3919466
-0.18,-0.12,0.18,1742283834.3967154
-0.24,0.24,0.12,1742283836.516879
0.18,0.18,0.06,1742283838.3971596
-0.85,-0.06,0.06,1742283840.3973234
0.12,0.18,0.06,1742283842.4202757
-0.18,0.12,0.12,1742283844.504573
0.12,0.18,0.12,1742283846.4157755
0.18,0.12,0.06,1742283848.8203702
0.61,0.12,0.12,1742283850.5480764
0.0,0.12,0.06,1742283852.4910226
0.06,0.12,0.06,1742283854.5399055
-0.06,0.12,0.0,1742283856.4507225
0.18,0.12,0.06,1742283858.5347703
0.18,0.12,0.06,1742283860.5812361
0.18,0.12,0.06,1742283862.5275915
0.18,0.18,0.12,1742283864.473786
0.18,0.12,0.06,1742283866.736241
-0.31,0.0,0.06,1742283868.573347
0.12,0.18,0.06,1742283870.5122132
0.12,0.12,0.06,1742283872.5627737
0.12,0.12,0.06,1742283874.6109028
0.06,0.12,0.06,1742283876.5561547
0.06,0.12,0.0,1742283878.6061053
0.37,0.18,0.06,1742283880.689394
0.0,0.12,0.06,1742283882.5983136
1.22,0.55,-0.06,1742283884.8490071
0.43,0.18,0.12,1742283886.5172596
0.37,0.18,0.12,1742283888.5354536
0.92,0.18,0.06,1742283890.5847507
0.12,0.18,0.06,1742283892.535931
0.12,0.12,0.06,1742283894.680597
0.12,0.12,0.06,1742283896.6273656
0.06,0.12,0.06,1742283898.6750505
0.0,0.06,0.0,1742283900.6217062
0.06,0.12,0.06,1742283902.873152
0.12,0.12,0.06,1742283904.6173642
0.18,0.12,0.06,1742283906.6607811
0.12,0.12,0.06,1742283908.6077228
-0.06,0.12,0.06,1742283910.570041
0.12,0.12,0.06,1742283912.6024842
0.12,0.12,0.06,1742283914.649171
0.06,0.06,0.12,1742283916.696629
-0.61,0.49,-0.12,1742283918.647684
0.0,0.12,0.06,1742283920.997831
0.18,0.12,0.12,1742283922.6379137
0.12,0.12,0.06,1742283924.6878898
0.06,0.12,0.06,1742283926.6172314
0.06,-0.18,0.12,1742283928.6801372
0.12,0.06,0.12,1742283930.7245867
0.12,0.0,0.12,1742283932.6737137
0.06,0.18,0.12,1742283934.7243757
0.37,-0.06,0.06,1742283936.6660352
0.0,0.06,0.0,1742283939.0211897
0.12,0.12,0.06,1742283940.761384
0.37,0.18,0.0,1742283942.7043998
0.24,0.24,0.06,1742283944.7561882
0.49,-0.24,0.12,1742283946.6981566
0.31,0.0,0.12,1742283948.7503736
0.18,0.18,0.0,1742283950.7954085
0.49,0.31,0.06,1742283952.6857464
0.0,0.12,0.06,1742283954.6948822
0.12,0.18,0.06,1742283956.9311945
0.18,0.12,0.06,1742283958.701363
-0.06,0.06,0.06,1742283960.7271914
0.12,0.06,0.06,1742283962.7749808
0.18,0.18,0.06,1742283964.8265662
0.31,0.18,0.18,1742283966.77358
0.12,0.12,0.0,1742283968.7153602
0.18,0.18,0.06,1742283970.7625756
0.06,0.18,0.06,1742283972.8179505
0.12,0.18,0.06,1742283974.9587653
1.46,0.31,-17.94,1742283976.7571998
-0.12,0.18,0.0,1742283978.783195
0.06,0.12,0.06,1742283981.1085112
0.18,0.18,0.06,1742283982.8485584
-0.18,0.12,-0.12,1742283984.7927485
0.12,0.12,0.12,1742283986.8394501
0.12,0.18,0.06,1742283988.8895962
0.06,0.18,0.06,1742283990.8439288
0.18,0.18,0.06,1742283993.1864724
0.12,0.18,0.06,1742283994.8278642
0.31,0.18,0.06,1742283996.877173
0.0,0.12,0.06,1742283998.93128
0.12,0.18,0.06,1742284000.8666618
0.12,0.18,0.06,1742284002.917015
0.12,0.18,0.0,1742284004.861733
0.18,0.18,0.06,1742284006.8282776
0.18,0.12,0.06,1742284008.9576018
0.06,0.12,0.06,1742284011.1721723
0.12,0.12,0.06,1742284012.849418
0.12,0.18,0.06,1742284014.9214325
0.18,0.12,0.0,1742284016.9454293
0.06,0.12,0.06,1742284018.8892908
0.06,0.12,0.06,1742284020.8636096
0.55,0.37,0.06,1742284022.9863954
0.12,0.12,0.06,1742284024.9338887
0.06,0.18,0.06,1742284026.9322038
-0.12,0.18,0.06,1742284029.2325308
0.18,0.12,0.06,1742284030.9721856
0.12,0.12,0.06,1742284032.9192698
0.12,0.18,0.12,1742284034.92493
0.0,0.12,0.06,1742284036.916026
0.06,0.12,0.06,1742284038.9622211
0.12,0.12,0.06,1742284040.9329805
0.0,0.06,0.06,1742284042.953218
0.06,0.12,0.06,1742284045.0016468
0.12,0.18,0.06,1742284047.2582958
0.12,0.12,0.06,1742284048.9958558
0.06,0.12,0.06,1742284051.0439534
0.06,0.12,0.06,1742284052.9888716
0.12,0.12,0.06,1742284054.944232
0.12,0.12,0.06,1742284056.9822767
0.06,0.12,0.06,1742284059.030671
0.12,0.12,0.06,1742284060.9992974
0.06,0.12,0.06,1742284063.0239701
0.12,0.12,0.06,1742284065.278103
0.12,0.12,0.06,1742284067.0237243
0.18,0.12,0.12,1742284068.9893491
0.12,0.12,0.06,1742284071.0136147
0.12,0.18,0.06,1742284073.0043209
0.12,0.18,0.06,1742284075.1072218
0.12,0.12,0.06,1742284077.0530875
0.12,0.18,0.06,1742284079.1002817
0.06,0.18,0.06,1742284081.040977
0.06,0.12,0.06,1742284083.4033618
0.06,0.12,0.06,1742284085.1428938
0.06,0.12,0.06,1742284087.0880435
0.12,0.12,0.06,1742284089.1598296
0.06,0.18,0.06,1742284091.0834634
0.18,0.18,0.06,1742284093.1299345
0.12,0.12,0.06,1742284095.064528
0.06,0.12,0.06,1742284097.068699
0.12,0.18,0.06,1742284099.0659833
0.12,0.12,0.0,1742284101.3704019
0.18,0.12,0.06,1742284103.1651497
0.12,0.18,0.06,1742284105.1111605
0.12,0.12,0.06,1742284107.158834
0.12,0.12,0.06,1742284109.2063825
0.12,0.12,0.06,1742284111.0876222
0.12,0.18,0.06,1742284113.1991138
0.12,0.18,0.06,1742284115.144889
0.12,0.18,0.06,1742284117.1031725
0.12,0.12,0.12,1742284119.4196117
0.12,0.18,0.06,1742284121.1860945
0.12,0.18,0.06,1742284123.133264
0.12,0.12,0.06,1742284125.1377413
0.06,0.18,0.06,1742284127.1390247
0.18,0.18,0.06,1742284129.1735444
0.43,0.12,0.06,1742284131.1443522
0.12,0.12,0.12,1742284133.1673925
